IDPOST,IDUSER,POSTTEXT,FECHA,IP,TIPODISPOSITIVO,IDTYPEPOST
90,90,que buen meme,10/22/2020,243.178.247.102,telefono,3
91,91,que buena serie,10/20/2020,238.220.109.54,telefono,3
92,92,que buena serie,10/20/2020,159.132.110.51,consola,1
93,93,me gusta base de datos 2,10/20/2020,35.28.109.71,telefono,1
94,94,el cielo en tu mirada,10/22/2020,197.200.218.20,telefono,3
95,95,que buena pelicula,10/20/2020,234.252.135.183,computadora,1
96,96,el cielo en tu mirada,10/21/2020,92.206.53.9,telefono,2
97,97,que buena pelicula,10/21/2020,222.196.181.80,consola,2
98,98,que buena pelicula,10/20/2020,216.7.153.82,computadora,2
99,99,me gusta base de datos 2,10/20/2020,66.10.193.215,tablet,1
100,100,el cielo en tu mirada,10/20/2020,211.166.236.91,computadora,2
